ID, AuthorName
0, Petar Jovanovic 0001
1, Alkis Simitsis
2, Kevin Wilkinson
3, Sofiane Abbar
4, Habibur Rahman 0001
5, Saravanan Thirumuruganathan
6, Carlos Castillo 0001
7, Gautam Das 0001
8, Ziawasch Abedjan
9, Toni Grütze
10, Anja Jentzsch
11, Felix Naumann
12, Jorge-Arnulfo Quiané-Ruiz
13, Anastasia Ailamaki
14, Jitendra Ajmera
15, Sachindra Joshi
16, Ashish Verma
17, Amol Mittal
18, Omar Alonso
19, Kartikay Khandelwal
20, Peter Alvaro
21, Neil Conway
22, Joseph M. Hellerstein
23, David Maier 0001
24, David C. Anastasiu
25, George Karypis
26, Ilaria Bordino
27, Nicolas Kourtellis
28, Nikolay Laptev
29, Youssef Billawala
30, Mikkel Boysen
31, Christian de Haas
32, Hua Lu 0001
33, Xike Xie
34, Aiste Pilvinyte
35, Yu Cao 0004
36, Xiaoyan Guo
37, Baoyao Zhou
38, Stephen Todd
39, Lei Cao 0004
40, Di Yang 0003
41, Qingyang Wang 0004
42, Yanwei Yu
43, Jiayuan Wang
44, Elke A. Rundensteiner
45, Loïc Cerf
46, Wagner Meira Jr.
47, Inci Cetindil
48, Jamshid Esmaelnezhad
49, Taewoo Kim 0001
50, Chen Li 0001
51, Youngchul Cha
52, Junghoo Cho
53, Jian Yuan
54, Tak W. Yan
55, Reynold Cheng
56, Tobias Emrich
57, Hans-Peter Kriegel
58, Nikos Mamoulis
59, Matthias Renz
60, Goce Trajcevski
61, Andreas Züfle
62, Christina Christodoulakis
63, Christos Faloutsos
64, Renée J. Miller
65, Xu Chu
66, Ihab F. Ilyas
67, Paolo Papotti
68, Yin Ye
69, Sara Cohen
70, Nerya Or
71, Xuan-Hong Dang
72, Ira Assent
73, Raymond T. Ng
74, Arthur Zimek
75, Erich Schubert
76, Dong Deng 0001
77, Guoliang Li 0001
78, Shuang Hao 0002
79, Jiannan Wang 0001
80, Jianhua Feng
81, Ahmed Eldawy
82, Mohamed F. Mokbel
83, Yousef Elmehdwi
84, Bharath K. Samanthula
85, Wei Jiang
86, Patrick Ernst
87, Cynthia Meng
88, Amy Siu
89, Gerhard Weikum
90, Ju Fan
91, Meiyu Lu
92, Beng Chin Ooi
93, Wang-Chiew Tan
94, Meihui Zhang 0001
95, Wenfei Fan
96, Xin Wang 0064
97, Yinghui Wu
98, Nicholas L. Farnan
99, Adam J. Lee
100, Panos K. Chrysanthis
101, Ting Yu 0001
102, Wei Feng
103, Jianyong Wang 0001
104, Daniel Gómez Ferro
105, Flavio Junqueira
106, Ivan Kelly
107, Benjamin C. Reed
108, Maysam Yabandeh
109, Sergej Fries
110, Brigitte Boden
111, Grzegorz Stepien
112, Thomas Seidl 0001
113, Jun Gao 0003
114, Jiashuai Zhou
115, Chang Zhou
116, Jeffrey Xu Yu
117, Floris Geerts
118, Giansalvatore Mecca
119, Donatello Santoro
120, Lukasz Golab
121, Theodore Johnson
122, Michael N. Gubanov
123, Michael Stonebraker
124, Daniel Bruckner
125, Manish Gupta 0001
126, Jing Gao 0004
127, Xifeng Yan
128, Hasan Cam
129, Jiawei Han 0001
130, Rajeev Gupta
131, Krithi Ramamritham
132, Gheorghi Guzun
133, Guadalupe Canahuate
134, David Chiu 0001
135, Jason Sawin
136, Shizuya Hakuta
137, Sebastian Maneth
138, Keisuke Nakano 0001
139, Hideya Iwasaki
140, Hyuck Han
141, Seongjae Park
142, Hyungsoo Jung 0001
143, Alan D. Fekete
144, Uwe Röhm
145, Heon Y. Yeom
146, Olaf Hartig
147, M. Tamer Özsu
148, Haibo Hu 0001
149, Jianliang Xu
150, Xizhong Xu
151, Kexin Pei
152, Byron Choi
153, Shuigeng Zhou
154, Hao Huang 0001
155, Yunjun Gao
156, Kevin Chiew
157, Lei Chen 0002
158, Qinming He
159, Jiewen Huang
160, Kartik Venkatraman
161, Daniel J. Abadi
162, Jin Huang 0003
163, Rui Zhang 0003
164, Rajkumar Buyya
165, Jian Chen 0011
166, Nguyen Quoc Viet Hung
167, Thanh Tam Nguyen
168, Zoltán Miklós 0001
169, Karl Aberer
170, Avigdor Gal
171, Matthias Weidlich 0001
172, Rohit Jain
173, Sunil Prabhakar
174, Nandish Jayaram
175, Mahesh Gupta
176, Arijit Khan 0001
177, Chengkai Li 0001
178, Ramez Elmasri
179, Di Jiang
180, Kenneth Wai-Ting Leung
181, Jan Vosecky
182, Wilfred Ng
183, Niranjan Kamat
184, Prasanth Jayachandran
185, Karthik Tunga
186, Arnab Nandi 0001
187, Wei Kang
188, Anthony K. H. Tung
189, Wei Chen 0001
190, Xinyu Li
191, Qiyue Song
192, Chao Zhang 0014
193, Feng Zhao 0009
194, Xiajuan Zhou
195, Pimin Konstantin Kefaloukos
196, Marcos Antonio Vaz Salles
197, Martin Zachariasen
198, Alfons Kemper
199, Thomas Neumann 0001
200, Mourad Khayati
201, Michael H. Böhlen
202, Johann Gamper
203, Samamon Khemmarat
204, Lixin Gao 0001
205, Herald Kllapi
206, Boulos Harb
207, Cong Yu 0001
208, Sarath Kumar Kondreddi
209, Peter Triantafillou
210, Pei Lee
211, Laks V. S. Lakshmanan
212, Evangelos E. Milios
213, Siyu Lei
214, Xuan S. Yang
215, Luyi Mo
216, Silviu Maniu
217, Viktor Leis
218, Jun Hu
219, Kian-Lee Tan
220, Jianxin Li 0001
